status,website,license_validity,official_rep,name,telephone,address,email
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,"Search result, : 3705 records found",,,
Valid License,N/A,2/6/2018 to 2/6/2020,RESANA L LACANARIA,1010 EPHESIANS HUMAN RESOURCES INC,(02) 990-0712/983-4549 / 09274678227 / 09472917735,"RMS 252,254,255,256 & 258, 2/F, RAMAGI BLDG, 1081 PACO, MANILA",ephesians_1010hr@yahoo.com
Valid License, None,9/11/2017 to 9/11/2019,ANITA A COBER,1015 BRILLIANT MINDS INC,(02) 2522338 / 2515100,"R 20 G/F & 33B 2/F MIDLAND PLAZA HOTEL M ADRIATICOERMITA, MANILA",brilliant_minds1015@yahoo.com
Ceased Operations, None,11/4/2011 to 11/3/2015,,1022 MARITIME SERVICES CORPORATION,5362997 5360831,"R602 DO�A F SYJUCO BLG 1872 REMEDIOS COR TAFT AVEMALATE, MANILA",CARGOFLEET@MARC-SHIPS.COM
Valid License,www.10thstory.com,4/2/2016 to 4/1/2020,MR ALFONSO UY NG,"10TH STORY PLACEMENT AGENCY, INC.",3531581,"2F & 3F, 1523-1527 M.H. DEL PILAR STERMITA, MANILA",tenthstorypai@yahoo.com
Delisted,,3/28/2001 to 3/28/2003,MA LISA G LOPEZ,168 PLACEMENT CORPORATION,4336267,2F&3FCORA ROSE BRIDALS CUENCA GONZAGA JUAN BACOLOD,
Delisted,NA,1/28/2008 to 1/28/2012,JAMES T. ONG LOPEZ,168 YE LU FA INTERNATIONAL MANPOWER AND PROMOTION SERVICES,516-8893,"2FLR 118 J DEL ROSARIO ST., DONA PETRA SUBD TUMANAMARIKINA",168yelufa_hr@yahoo.com
Cancelled,NA,12/23/2006 to 6/23/2007,NORMANDY P. REYES,1ST AKCES MANPOWER INC (FORMERLY CHAYAN MAN PROMOTION PHILS INTERNATIONAL,5243869,"3/F ANGELA GAW BLG.1170 SN ANDRES ST.MALATE, MANILA",FIRSTAKCES_MANPOWER@HOTMAIL.COM
Valid License,www.1stdynamicpersonnel.com,4/9/2018 to 4/8/2022,CATHERINE LIANA Z CHUA,1ST DYNAMIC PERSONNEL RESOURCES INC.,(02) 7984048,"3F, JLC BLDG, NO. 8 N. RAMIREZ STREETDON MANUEL, QUEZON CITY",1stdynamicpersonnel@gmail.com
Delisted,NA,8/18/2006 to 8/18/2007,LORENZO ANG,1ST FILIPINO OVERSEAS RECRUITMENT AGENCY (FORAI) INCORPORATED,,"31A GB BLDG MONTEVERDE ST DAVAO CITYDAVAO CITY, DAVAO DEL SUR",NA
Valid License, None,12/30/2017 to 12/29/2021,ANCHIE A SIBAL,1ST NORTHERN INTERNATIONAL PLACEMENT INC,6381981/6381982,"U16,12,24,25,47,48,49&50 CITYLAND COND 128 PIONEERMANDALUYONG",firstnorthern_international@yahoo.com
Valid License,www.2000miles.org,9/28/2015 to 9/27/2019,EMILIA S POBLETE,"2000 MILES PLACEMENT AGENCY, INC. (FOR:GEOSONS PLCT AGENCY, INC)",4148717/ 4168229/ 6615388/ 09209503504,"U14&15, DON GRACIANO BLG, 1180 E RODRIGUEZ SR AVE,QUEZON CITY",info@2000miles.org / 2000miles.pac@gmail.com
